timestamp,treble_chorale,bruin_singers,bel_canto
2026-05-07T03:49:32Z,18846,7944,18758
2026-05-07T03:50:02Z,18846,7944,18770
2026-05-07T03:50:33Z,18846,7944,18780
2026-05-07T03:51:03Z,18846,7944,18792
2026-05-07T03:51:33Z,18846,7945,18800
2026-05-07T03:52:04Z,18846,7945,18810
2026-05-07T03:52:34Z,18846,7945,18817
2026-05-07T03:53:04Z,18846,7945,18826
2026-05-07T03:53:34Z,18846,7945,18837
2026-05-07T03:54:05Z,18846,7945,18847
2026-05-07T03:54:35Z,18846,7945,18855
2026-05-07T03:55:05Z,18846,7945,18864
2026-05-07T03:55:36Z,18846,7945,18872
2026-05-07T03:56:06Z,18846,7945,18876
2026-05-07T03:56:36Z,18846,7945,18883
2026-05-07T03:57:06Z,18846,7945,18892
2026-05-07T03:57:37Z,18846,7945,18903
2026-05-07T03:58:07Z,18846,7945,18907
2026-05-07T03:58:37Z,18846,7945,18919
2026-05-07T03:59:08Z,18846,7945,18929
2026-05-07T03:59:38Z,18846,7945,18930
2026-05-07T04:00:08Z,18846,7945,18932
2026-05-07T04:00:38Z,18846,7945,18935
2026-05-07T04:01:09Z,18846,7945,18948
2026-05-07T04:01:39Z,18846,7945,18961
2026-05-07T04:02:09Z,18846,7945,18962
2026-05-07T04:02:40Z,18846,7945,18967
2026-05-07T04:03:10Z,18846,7945,18978
2026-05-07T04:03:40Z,18847,7945,18991
2026-05-07T04:04:10Z,18847,7945,18999
2026-05-07T04:04:41Z,18847,7945,19007
2026-05-07T04:05:11Z,18847,7945,19014
2026-05-07T04:05:41Z,18847,7945,19021
2026-05-07T04:06:11Z,18847,7945,19023
2026-05-07T04:06:42Z,18847,7945,19025
2026-05-07T04:07:12Z,18847,7945,19030
2026-05-07T04:07:42Z,18847,7945,19040
2026-05-07T04:08:13Z,18847,7945,19046
2026-05-07T04:08:43Z,18847,7945,19048
2026-05-07T04:09:13Z,18847,7945,19053
2026-05-07T04:09:44Z,18847,7945,19063
2026-05-07T04:10:14Z,18847,7945,19072
2026-05-07T04:10:44Z,18847,7945,19073
2026-05-07T04:11:14Z,18847,7945,19085
2026-05-07T04:11:45Z,18847,7945,19096
2026-05-07T04:12:15Z,18847,7945,19108
2026-05-07T04:12:45Z,18847,7945,19112
2026-05-07T04:13:16Z,18847,7945,19124
2026-05-07T04:13:46Z,18847,7945,19136
2026-05-07T04:14:16Z,18847,7945,19150
2026-05-07T04:14:46Z,18847,7945,19155
2026-05-07T04:15:17Z,18848,7945,19166
2026-05-07T04:15:47Z,18848,7946,19177
2026-05-07T04:16:17Z,18848,7946,19190
2026-05-07T04:16:48Z,18848,7946,19199
2026-05-07T04:17:18Z,18848,7946,19208
2026-05-07T04:17:48Z,18848,7946,19221
2026-05-07T04:18:18Z,18848,7946,19231
2026-05-07T04:18:49Z,18848,7946,19243
2026-05-07T04:19:19Z,18848,7946,19251
2026-05-07T04:19:49Z,18848,7946,19260
2026-05-07T04:20:20Z,18848,7946,19273
2026-05-07T04:20:50Z,18848,7946,19286
2026-05-07T04:21:20Z,18848,7946,19299
2026-05-07T04:21:51Z,18848,7946,19312
2026-05-07T04:22:21Z,18848,7946,19326
2026-05-07T04:22:51Z,18848,7946,19336
2026-05-07T04:23:21Z,18848,7946,19345
2026-05-07T04:23:52Z,18848,7946,19357
2026-05-07T04:24:22Z,18848,7946,19371
2026-05-07T04:24:52Z,18848,7946,19382
2026-05-07T04:25:23Z,18848,7946,19396
2026-05-07T04:25:53Z,18848,7946,19406
2026-05-07T04:26:23Z,18848,7946,19415
2026-05-07T04:26:53Z,18848,7946,19420
2026-05-07T04:27:24Z,18848,7946,19433
2026-05-07T04:27:54Z,18848,7946,19446
2026-05-07T04:28:24Z,18848,7946,19457
2026-05-07T04:28:54Z,18848,7946,19461
2026-05-07T04:29:25Z,18848,7946,19470
2026-05-07T04:29:55Z,18848,7946,19483
